id,name,organization,latitude‎,longitude‎
25858,Московский музей анимации,commercial,55.7635,37.8389
25853,Литературно-краеведческий центр,mincult,57.1546,65.536
25848,Альметьевская картинная галерея,mincult,54.8992,52.2775
25822,Музей истории аэропорта Шереметьево,othergov,55.9668,37.4161
25809,Дом-музей Матвея Муравьева-Апостола,commercial,55.7673,37.6647
25788,Терновский народный историко-краеведческий музей им. В. В. Маяковского,mincult,45.8495,40.4105
25786,Безенчукский музейно-выставочный центр,mincult,52.9876,49.4403
25779,Музей русского импрессионизма,commercial,55.7804,37.5703
25755,Этнографический выставочный зал в селе Казым,mincult,63.7025,67.2399
25748,Музей-резиденция «Арткоммуналка. Ерофеев и Другие»,mincult,55.1007,38.7569
25669,Отдел истории Иркутского областного краеведческого музея,mincult,52.2757,104.2782
25595,Музей истории г. Челябинска,mincult,55.168,61.3982
25586,Здание мещанской управы,mincult,51.6585,39.2031
25567,Магаданский областной краеведческий музей,mincult,59.5585,150.8154
25564,Тверская областная картинная галерея. Тверской императорский дворец,mincult,56.8626,35.8999
25537,Музей «Топтыгин дом»,mincult,58.4995,39.1206
25530,Музей «Русь Советская»,mincult,58.5018,39.1138
25521,Катайский районный краеведческий музей,mincult,56.2851,62.5803
25512,Сысертский краеведческий музей,mincult,56.4951,60.8126
25507,Историко-краеведческий музей «Отражение»,mincult,61.5508,66.4354
25489,Городской музей Г. И. Шелехова,mincult,52.2142,104.082
25482,Сараевский районный краеведческий музей,mincult,53.8796,41.0427
25471,Культурно-выставочный центр «Радуга»,control,52.6143,48.9638
25453,Шиловский районный краеведческий музей,mincult,54.3228,40.8779
25402,Сектор керамики «Град Светлый»,othergov,56.82,45.1099
25397,Историко-художественнный музей «Китеж»,othergov,56.82,45.1099
25372,Музей автомобильных историй,commercial,55.832,37.5185
25342,Музейно-туристический комплекс «Град Китеж»,othergov,56.8185,45.1146
25340,Историко-краеведческий центр Кадомского района,mincult,54.5581,42.4697
25282,Клявлинский историко-краеведческий музей,mincult,54.2616,52.0258
25162,Музей обороны и тыла,mincult,54.7238,39.4501
25161,Дом-музей Пироговых,mincult,54.8396,39.7731
25105,Историко-краеведческий музей города Армянска,mincult,46.1085,33.6919
25085,Литературно-этнографический музей Л. Н. Толстого,mincult,43.6567,46.3972
25066,Выставочный проект «Ангелы мира»,virtual,56.0533,92.9081
25065,Музей боевой славы,mincult,55.0939,38.7717
25033,Галерея «В складчину»,commercial,59.9407,30.3412
25012,Усадьба купцов Лажечниковых,mincult,55.1014,38.7536
24953,Музей А. С. Пушкина в Гурзуфе,mincult,44.495,34.1657
24945,Дача А. П. Чехова в Гурзуфе,mincult,44.5419,34.2818
24902,Зал современного искусства,mincult,55.7568,52.0548
24885,Музей Спегальского,mincult,57.8162,28.3375
24884,Дом-музей В. И. Ленина (Домик «Искры»),mincult,57.817,28.3526
24883,Музей-квартира В. И. Ленина,mincult,57.818,28.3355
24881,Спасо-Преображенский собор Мирожского монастыря,mincult,57.802,28.3252
24880,Фондохранилище Дома Массона,mincult,57.8118,28.3403
24876,Мемориальный музей-усадьба С. В. Ковалевской,mincult,56.1355,30.3916
24872,Музей под открытым небом «Крепость Фуна»,mincult,44.7373,34.4002
24866,Дом Плотникова,mincult,56.4906,43.6155
24816,Музей «Никитино Подворье»,mincult,55.6546,44.6516
24781,Детская художественная галерея «Изопарк»,mincult,55.6384,37.5105
24698,Дом-музей Г. В. Плеханова,mincult,52.6141,39.6026
24670,Центр современного искусства КГФ при МПГУ,othergov,55.6579,37.4761
24616,Мемориальная комната Государственного архива Алтайского края,mincult,53.3806,83.7265
24553,"Отдел истории, археологии и пикториальной фотографии Серпуховского историко-художественного музея",mincult,54.9116,37.4149
24493,Музей В. М. Клыкова,mincult,51.8664,37.5519
24473,Административный корпус Лянторского хантыйского этнографического музея,mincult,61.6245,72.1479
24431,Филиал Музея городской скульптуры «Уткина дача»,mincult,59.9347,30.4222
24414,Бахчисарайский историко-культурный и археологический музей-заповедник,mincult,44.749,33.8826
24401,Историко-революционный музей,mincult,52.2134,80.8006
24394,Музей боевой техники под открытым небом «Военная горка»,mincult,45.2809,37.3724
24305,Музей стекла «Черный лебедь»,mincult,56.4535,43.2064
24247,Красногвардейский краеведческий музей,mincult,45.4995,34.2927
24236,Выставочный зал Музейно-выставочного центра,mincult,55.7829,38.4371
24096,Музей истории Хлынова,commercial,58.6005,49.6763
24068,Можайский историко-краеведческий музей,mincult,55.5097,36.0148
24036,Выставочный зал Этнографического музея «Торум Маа»,mincult,61.024,69.1254
24031,Кемеровский областной краеведческий музей (отдел военной истории),mincult,55.3606,86.0842
24018,Кесовогорский краеведческий музей,mincult,57.5806,37.29
24017,Архитектурный ансамбль Спасо-Бородинского монастыря,mincult,55.5043,35.8292
24016,Экспозиция «Герои романа Л. Н. Толстого «Война и мир» на Бородинском поле»,mincult,55.5053,35.8284
24015,Экспозиция «Военная галерея Бородинского поля»,mincult,55.5083,35.8345
24014,Дом-музей игуменьи Марии,mincult,55.5048,35.8294
24013,Визит-центр музея-заповедника «Бородинское поле»,mincult,55.5244,35.811
